PlaceName,StateAbbr,CDCHI,CDCHI_weighted,rank_shift
Southfield,MI,47.37252546289064,50.14959920350222,-43.0
Missouri City,TX,27.59266659144744,30.522080773633853,-42.0
El Cajon,CA,50.43553207435248,44.87599800022367,41.0
Edinburg,TX,49.90898854645378,51.675457941671006,-35.0
Fargo,ND,21.135828771617163,23.2006306809371,-34.0
Fayetteville,NC,50.548520605736506,51.998655508691435,-33.0
Lowell,MA,48.360375417438064,43.27532213781369,31.0
Lafayette,IN,52.395492290939366,48.11600557970733,30.0
El Paso,TX,47.76191678987608,49.458781380542426,-30.0
Deerfield Beach,FL,51.02711596364953,46.41811664205042,30.0
